gene_id	gene_name	L1_P25558_101_S30	L1_P25558_102_S31	L1_P25558_103_S32	L1_P25558_104_S33	L1_P25558_106_S35	L2_P24120_101	L2_P24120_102	L2_P24120_104	L2_P24120_105	L2_P24120_106	L3_P24120_103_S130	L3_P24120_103_S51
gene-KLF8	KLF8	45	76	264	106	32	109	336	11	65	0	27	59
gene-KLF9	KLF9	88	7594.033	2267.99	4637.169	1207	2620.364	2528.265	357.216	7642.461	0	197	514.093
gene-KLHDC1	KLHDC1	335	1835	1001.996	2386.001	264	1758.006	1759.252	555.115	1965.021	0	293	696
gene-KLHDC10	KLHDC10	3519.011	3785.159	1881	1434.998	995	4483.868	3981.03	3219.683	1810.399	0	868	2283.591
gene-KLHDC2	KLHDC2	9719.912	7055.763	4818	9726.192	2894	7382.941	7885.55	9900.672	8423.932	0	3082.776	8145.977
gene-KLHDC3	KLHDC3	6655.194	6827.879	3164	8038.218	1569	9857.342	9448.489	9462.564	10719.213	0	1889	4894.011
gene-KLHDC4	KLHDC4	1890.745	1199	1663.983	1109.18	640	1566.975	4336.034	3842.346	1583.182	0	752.312	2045
gene-KLHDC7A	KLHDC7A	19	0	6006	0	23	0	14638.477	16	1	0	7	23
gene-KLHDC7B	KLHDC7B	0	4	1	0	0	10	2	0	1	0	2	4
gene-KLHDC8A	KLHDC8A	308	166	143	5	104	541.497	598	406.003	17	0	80	201
gene-KLHDC8B	KLHDC8B	325	1	8	9	93	1	88	97	8	0	13	65
gene-KLHDC9	KLHDC9	764	157	281	62	167	258	710	496	77	0	98	268
gene-KLHL1	KLHL1	23	0	9	3	25	0	5	21	0	0	14	38
gene-KLHL10	KLHL10	213.389	117.853	230.936	76.649	58.538	76.794	157.25	62.585	8.85	0	35.654	101.551
gene-KLHL11	KLHL11	896.611	2957.147	8362.86	1220.351	1313.462	2828.32	9846.28	3551.508	689.23	0	2270.99	6171.939
gene-KLHL12	KLHL12	3415.103	4483.77	3237	2444.511	1557	4702.513	8348.179	5398.255	3067.568	0	1296	3479.154
gene-KLHL13	KLHL13	296	166	332.999	280	180	165	446	391	215.001	0	184.004	455
gene-KLHL14	KLHL14	41	2	387	0	28	5	1315.574	3	1	0	0	2
gene-KLHL15	KLHL15	337.008	2448.083	2250.652	824	493	567	1350.252	614.046	272	0	708	2000
gene-KLHL17	KLHL17	685	369	309	433	557	539.124	1448.248	1329.016	1147.06	0	176	501
gene-KLHL18	KLHL18	18	188	252	71	197	83	805.112	348	88	0	60.409	208
gene-KLHL2	KLHL2	2985.926	628.006	5388	565	1173	744.202	8890.642	3720.229	633.008	0	1321	3591.512
gene-KLHL20	KLHL20	783	2333.001	1401	1477	787	2007.857	2463.868	3137.06	1645.335	0	1014	2877.83
gene-KLHL21	KLHL21	1264	33814.022	4286.004	4169.989	583	34523.825	14056.022	2994.655	7251.536	0	499	1463
gene-KLHL22	KLHL22	434	2294	684	1459.006	193	2776.591	2122.974	424.004	2450.708	0	127	292
gene-KLHL23	KLHL23	119	3487.08	237	4573.19	251	1755.883	207	451.025	3676.987	0	173	482
gene-KLHL24	KLHL24	315	30752.016	12504.898	12629.054	2956	5917.521	4309.657	1114.331	4539.519	0	2147.569	5977.808
gene-KLHL25	KLHL25	350	653.375	235.183	47.044	370.506	510.096	602.008	2471.265	91	0	373.748	1061.275
gene-KLHL26	KLHL26	437	566	540	513	356	336.01	585.001	240	623.369	0	148.002	374.037
gene-KLHL28	KLHL28	69	1271	682.008	789.999	379	190.001	309	114.999	205.123	0	458	1192
gene-KLHL29	KLHL29	243	361	85	284	142	359	233.047	122.045	278	0	30	78
gene-KLHL3	KLHL3	80	575	5579	275.001	77	458.009	18793.215	83	378.016	0	21	45
gene-KLHL30	KLHL30	0	2394	0	1241	4	809.001	0	0	2554.91	0	0	0
gene-KLHL31	KLHL31	16	4503	49	13511.704	27	477	58	27	6038.999	0	17	73
gene-KLHL32	KLHL32	157	62	653.055	256	162	48	846.089	176.001	102	0	166	449
gene-KLHL33	KLHL33	63	1320	81	3683.19	41	1090.148	349	92	4275.693	0	33	97
gene-KLHL34	KLHL34	0	117	1	51	0	41.007	0	0	67	0	0	0
gene-KLHL35	KLHL35	8	15	8	11	23	2	7	16	0	0	12	32
gene-KLHL36	KLHL36	998.002	1657	1371	609	1056	1234.771	3364.137	3300.826	935.205	0	625	1732
gene-KLHL38	KLHL38	3	6685.098	14	4179.532	28	6217.754	88	82.001	10065.99	0	13	46
gene-KLHL4	KLHL4	143	56	122	103.017	69	84	137.027	120	86.001	0	55	127
gene-KLHL40	KLHL40	0	38882.141	25	2958.344	1	14648.727	80.999	21	6845.274	0	0	2
gene-KLHL41	KLHL41	5	63727.176	229.111	29841.094	7	32731.369	133	32	28807.55	0	35	67
gene-KLHL42	KLHL42	106	379	746	256	339	331	888	496.137	169.007	0	336	839.007
gene-KLHL5	KLHL5	508	466	4908.602	1123.849	656	637	5421.73	1053.889	850.371	0	496	1279.997
gene-KLHL6	KLHL6	0	71	94	98	117	55	118	24	35	0	19	61
gene-KLHL7	KLHL7	407.172	2680.639	1669.476	1022.591	602.033	1774.784	2318.402	2507.147	849.322	0	1131.813	2925.922
gene-KLHL8	KLHL8	81	6602.136	1941	2576.321	567	1335.028	1554.186	835.076	1558.352	0	671.001	1829
gene-KLHL9	KLHL9	378.041	3938.205	5126.324	1843	2913	1607.258	6023.598	4251.291	958.338	0	3138.823	8417.044
gene-KLK1	KLK1	3745.163	6	6370.804	0	1206	6	75108.324	128	5	0	81	194
gene-KLK10	KLK10	67	3	10	1	8	2	39	38	0	0	5	10
gene-KLK11	KLK11	19	8	3	2	1	4	4	11	0	0	7	8
gene-KLK12	KLK12	109	5	1	1	36	8	7	35	2	0	4	9
gene-KLK13	KLK13	0	0	0	0	0	0	0	0	0	0	0	0
gene-KLK14	KLK14	0	0	0	0	0	0	3	0	0	0	0	0
gene-KLK7	KLK7	0	6	0	0	0	6	0	0	0	0	0	0
gene-KLK8	KLK8	126	2	7	11	82	0	15	527	5	0	94	233
gene-KLK9	KLK9	9	1	17	15	49.895	0	53.676	11.03	8	0	2	14.329
gene-KLKB1	KLKB1	1	39	57	0	1	35	128	15	5	0	10	25
gene-KLRD1	KLRD1	11	3	1	12	2	0	1	0	3	0	13	20
gene-KLRF1	KLRF1	0	6	3	21	5	17	3	6	5	0	5	10
gene-KLRF2	KLRF2	7	2	2	8	2	5	0	19	6	0	5	21
gene-KLRG2	KLRG2	5	73	625	11	12	60	2131	89	8	0	43	85
gene-KMO	KMO	212	0	1306.733	0	44	0	1874.999	12	1	0	2	13
gene-KMT2A	KMT2A	2463.1	11531.59	4468.009	2078.364	4993	6924.186	17378.529	6160.988	4474.76	0	1524	4028
gene-KMT2B	KMT2B	2813.835	4525.253	2854.101	1843.815	5394	5586.614	13403.396	10949.84	5116.504	0	1743.066	4688.319
gene-KMT2C	KMT2C	4005.052	46204.337	17205.884	8937.288	15923.006	14686.14	19744.365	8507.259	7807.7	0	7510.194	20471.145
gene-KMT2D	KMT2D	840	19734.405	4811.853	2699.01	14850.836	8895.098	22382.576	11910.934	8480.233	0	3319.676	9145.721
gene-KMT2E	KMT2E	4094.23	10000.301	9436.7	3313.349	5866.001	11492.47	26159.556	13503.366	4684.166	0	4587.052	12222.895
gene-KNCN	KNCN	20	5	4	0	18	2	15	10	0	0	0	2
gene-KNDC1	KNDC1	6	0	0	11	25	0	6	25	15	0	0	2
gene-KNG1	KNG1	0	0	7094.595	0	2.046	1	13559.877	11	0	0	29.594	102.938
gene-KNOP1	KNOP1	1556.003	1773.001	1309.951	890	925	1831.099	3058.155	3590.232	1119.22	0	872	2411
gene-KNSTRN	KNSTRN	783	135	262	32	191.002	201	714.673	1675.099	57	0	337.034	953.017
gene-KNTC1	KNTC1	237	392	153	41	649	341	182	704.167	53.031	0	531	1351.325
gene-KPNA1	KPNA1	3722.103	20803.362	5855.175	8701.628	2800	9251.04	5744.486	4658.441	5661.385	0	2394	6409.525
gene-KPNA2	KPNA2	4809.125	577.248	1795.78	615.593	1766.455	286.892	1785.053	7888.613	460.455	0	2701.934	7178.996
gene-KPNA3	KPNA3	1902	16235.658	1650.035	5735.354	1418	9424.374	2559.069	2756.016	7252.211	0	1142.018	2992.125
gene-KPNA4	KPNA4	1307.184	39602.835	7487.449	8637.697	2879	2648.238	3372.199	2368.831	1435.361	0	2983.218	7994.558
gene-KPNA5	KPNA5	0	582	290.618	441	48	283.001	296.044	23	264.857	0	17	62
gene-KPNA6	KPNA6	2089.271	17544.144	10193.637	5486.098	3372	5335.109	13126.205	7232.735	5450.958	0	4151.2	11538.254
gene-KPNA7	KPNA7	0	0	0	0	0	0	0	0	0	0	0	0
gene-KPNB1	KPNB1	1829.045	13455.977	7042.078	7420.571	4622.03	5263.487	11500.323	13937.065	6790.648	0	5422.854	14531.433
gene-KPRP	KPRP	0	0	0	0	0	0	0	0	0	0	0	0
gene-KPTN	KPTN	366	520.988	322.946	595.871	147	677.762	1033.224	837.441	869.764	0	139.378	410.399
gene-KRAS	KRAS	18922.552	5456.981	6102.211	3573.176	8729.002	3495.412	6697.532	16796.416	2479.357	0	7488.549	20352.056
gene-KRBA1	KRBA1	55	168	743	78	188	164	3178	744.584	214.12	0	176	418
gene-KRBOX1	KRBOX1	170.611	171	109	458.277	12	195	238	216.274	333.04	0	60.048	127
gene-KRCC1	KRCC1	2947.077	6149.084	2659.854	2052.487	834.526	6678.251	5838.157	4991.951	2493.658	0	1230.169	3341.275
gene-KREMEN1	KREMEN1	40	8565.434	7650.251	1626.603	426	3636.99	13569.082	1719.111	3229.292	0	371	1025
gene-KREMEN2	KREMEN2	1479.071	65	104	92	441	59	174	1076	95	0	257	658
gene-KRI1	KRI1	2718.056	3640.359	1676.291	1211.378	931.732	5958.052	6139.6	4359.442	2439.923	0	675.228	1847.811
gene-KRIT1	KRIT1	1127	3555.542	2670.034	1769.001	1103	2506.388	2595.551	1485.789	1292.023	0	828	2399.627
gene-KRR1	KRR1	137	87	93.07	68	108	56	143	202	30	0	86	272
gene-KRT1	KRT1	177	8	56	11	11	25	876.009	11	37	0	1	4
gene-KRT10	KRT10	507	208	420.028	342	43	378	1235.569	635.101	325	0	120	320
gene-KRT12	KRT12	97.148	8	11	9	48	0	6	35.983	0	0	21	72
gene-KRT16	KRT16	3	0	3.057	2	11	0	5.294	0	6	0	0	0
gene-KRT17	KRT17	222.39	0	4	0	550.022	0	15.397	568.305	3	0	158.667	385.315
gene-KRT18	KRT18	85533.423	3	2510	2	19727.3	3	6369.8	114567.877	1	0	27993.801	76893.537
gene-KRT2	KRT2	0	0	0	10	0	1	4	0	8	0	0	0
gene-KRT20	KRT20	735013.492	4	60	0	178992.686	1	114.568	344583.808	0	0	100525.239	273156.366
gene-KRT222	KRT222	18	4	38	7	14	1	27	8	7	0	17	26
gene-KRT23	KRT23	7	7	1826.287	1	25	4	5093.292	10.065	3	0	8	25
gene-KRT24	KRT24	0	0	1	0	2	0	4	4	0	0	1	6
gene-KRT25	KRT25	0	1	10	7	0	0	24	0	0	0	1	3
gene-KRT26	KRT26	3	0	13	8	5	1	33	5	6	0	5	8
gene-KRT27	KRT27	0	0	1	9	6	0	12	0	0	0	2	5.008
gene-KRT28	KRT28	0	0	0	2	1	0	9	4	0	0	0	0
gene-KRT3	KRT3	0	0	0	0	0	0	14	0	0	0	0	0
gene-KRT32	KRT32	0	0	0	0	0	0	0	0	0	0	0	0
gene-KRT36	KRT36	0	0	0	6	4	0	3	2	2	0	0	0
gene-KRT38	KRT38	0	0	0	0	0	0	0	0	0	0	0	0
gene-KRT39	KRT39	0	2	16	1	42	0	5	2	0	0	5	15
gene-KRT4	KRT4	22	0	357.797	0	2	0	1221.988	24	0	0	1	5
gene-KRT40	KRT40	30	3	3	3	20	0	10	7	0	0	10	23
gene-KRT7	KRT7	1445.073	17	6805.963	4	405	39	22279.886	1451.324	4	0	352	827
gene-KRT77	KRT77	0	0	146	0	2	0	542	4	0	0	0	0
gene-KRT78	KRT78	79	0	28	0	19	1	57	6	1	0	0	0
gene-KRT79	KRT79	331.146	2.119	0	8.382	49	0	5	221.856	0	0	24	89
gene-KRT8	KRT8	1163983.359	9	4984.561	1	268552.829	10	14118.282	786367.853	4	0	153784.791	411078.541
gene-KRT80	KRT80	107	1	84	7	92	20	544.941	165	14	0	20	43
gene-KRT82	KRT82	0	0	0	0	0	0	0	0	0	0	0	0
gene-KRT84	KRT84	0	0	0	0	0	0	0	0	0	0	0	0
gene-KRTCAP2	KRTCAP2	10745.743	1667	1333.038	1338	1370	2516.003	3974.135	8763.14	1910.791	0	1522.997	4132.973
gene-KRTCAP3	KRTCAP3	11650.505	9	922.935	10	1257	17	3078.574	4209.115	2	0	699	1640
gene-KRTDAP	KRTDAP	0	0	0	0	0	0	0	0	0	0	0	0
gene-KSR1	KSR1	5163.974	3793.001	764.999	775	4727.999	6376.105	4147.816	7332.383	2299.54	0	973	2729
gene-KSR2	KSR2	0	2	42	21	30	1	70	6	4	0	1	6
gene-KTI12	KTI12	780.075	909	1115.19	379	465	754	1399.168	970	392.01	0	420	1123.718
gene-KTN1	KTN1	2762.332	22676.45	7719.293	11811.949	2500	14000.265	10420.507	5848.259	8853.546	1	2733.843	7183.243
gene-KXD1	KXD1	13145.413	3583.841	1626	1824.339	2770	7814.422	7502.276	15558.318	4655.486	3	1898	5293.95
gene-KY	KY	0	55	3	2703	0	30	0	0	2632.011	0	0	0
gene-KYNU	KYNU	111	4	5512.847	68	191	0	2733.549	290	49	0	267.016	747
gene-L1CAM	L1CAM	792	67	1960	61	542	68	14048.767	770.993	64	0	94	229
gene-L1TD1	L1TD1	14	0	3	0	3	3	2	0	0	0	0	0
gene-L2HGDH	L2HGDH	599.807	2509.518	1066.92	5486.155	428	1848.362	1411.483	1492.76	5276.56	1	683	1700
gene-L3HYPDH	L3HYPDH	148	193.114	291	547	36	271	480.011	132.934	443.399	0	63	158
gene-L3MBTL2	L3MBTL2	2830	2498.376	2976.046	869.113	1720	3069	7685.713	4479.722	1266.029	0	1031	2729
gene-L3MBTL3	L3MBTL3	217	875	827.999	611.006	188	713.56	1233.266	649.013	611.083	0	264.999	739.011
gene-L3MBTL4	L3MBTL4	8	46	4	113	7	17	17	36	60	0	7	22
gene-LACC1	LACC1	494.05	1047.057	1175	297	341	754	1549.933	960.593	302.016	0	350	913.108
gene-LACE1	LACE1	2263.911	3387	1887.862	3556.082	903	2636.994	2535.048	2722.162	3202.122	1	889	2374
gene-LACTB	LACTB	6784.775	2024.257	900	1823.506	1496	2083.383	1425.001	4351.286	1890.485	0	1203.005	3366.098
gene-LACTB2	LACTB2	1664.078	4624.604	4336.006	4430.192	521	4074.809	5890.722	4096.71	4373.553	0	1160	3112.398
gene-LACTBL1	LACTBL1	0	0	5	0	0	0	3	0	0	0	0	0
gene-LAD1	LAD1	5272.544	2	350	2	4818	0	1434.101	19222.609	0	0	1971	5333
gene-LAG3	LAG3	203	3	40	3	24	16	191	71	20	0	8	34
gene-LAGE3	LAGE3	612	180	176	275.127	81	309	592.757	1010.261	479.543	0	177	464
gene-LAIR1	LAIR1	136	13.185	1	35	9	65	57.227	44	84	0	7	23
gene-LALBA	LALBA	0	0	2	30	0	0	2	0	12	0	0	0
gene-LAMA1	LAMA1	14	33	519.048	15	5	13	910	5	4	0	0	0
gene-LAMA2	LAMA2	566	10395.15	2661.814	21262.01	1402	7519.274	1561	723	12268.175	0	480	1285.084
gene-LAMA3	LAMA3	4489.018	265	399	550	4341.169	559.374	1296.271	4815.785	1014.021	0	1488	4111.166
gene-LAMA4	LAMA4	1741.8	712	679	1928.136	1556	993	812.002	1062.83	1552.95	0	371	988
gene-LAMA5	LAMA5	90.44	387.924	4082.989	398.211	2425.439	499.652	16794.462	832.36	963.16	0	171.355	412.157
gene-LAMB1	LAMB1	6569.835	993.033	9344.21	2609.153	3693.928	1447.162	25471.686	4507.787	3118.767	0	1285.114	3295.24
gene-LAMB2	LAMB2	564.461	2502.01	1950.228	3251.251	979.9	2408.137	8736.497	783	6547.089	0	107	258
gene-LAMB3	LAMB3	6480.397	590	578	187.033	3507	748.005	2404.084	10395.625	416	0	1532.066	4073.065
gene-LAMB4	LAMB4	2	1	21	0	7	7	75	8	2	0	5	19
gene-LAMC1	LAMC1	6131.8	9158.026	5655.521	13843.001	6124	9636.878	12995.601	4038.816	17845.433	0	1356.07	3610.205
gene-LAMC2	LAMC2	7398.922	372	338	391	4066	516	1108.012	7497.518	488	0	2228	6296.155
gene-LAMC3	LAMC3	17	6	274	0	6	3	921.001	25	1	0	1	4
gene-LAMP1	LAMP1	73631.349	54541.925	39193.868	21087.625	13488	90789.712	179699.566	72534.686	39072.785	0	9255.129	25012.979
gene-LAMP2	LAMP2	23270.075	23237.922	26964.659	14963.126	9034.001	11253.194	28794.192	24185.59	10434.305	0	10602.542	28118.994
gene-LAMP3	LAMP3	46	2	4	2	28	0	6	16	8	0	10	15
gene-LAMP5	LAMP5	0	0	0	0	0	0	0	5	0	0	0	1
gene-LAMTOR1	LAMTOR1	11227.518	3144.811	2456.743	2375.805	1336.092	5551.479	8587.976	10088.077	4193.939	0	1555.634	4181.064
gene-LAMTOR2	LAMTOR2	4666.627	398	574	1257	475	1325	3699.424	5951.001	1825.041	0	599	1634
gene-LAMTOR3	LAMTOR3	1569	1621.172	1735.333	989.321	379	1660.185	2356.066	2378.306	900.022	0	790.132	2110.01
gene-LAMTOR4	LAMTOR4	15461.575	1908.741	1934.146	2489.612	2547.173	2713.149	5417.691	6014.985	2896.506	0	1351.237	3631.769
gene-LAMTOR5	LAMTOR5	6054.164	2360	2221	1189.421	655	3981.035	5626.232	5390.172	1687.964	0	1071	3018.961
gene-LANCL1	LANCL1	350	3665.797	2614	1339.746	411	1922.001	4905.721	3065.856	1409.468	0	1192.15	3198
gene-LANCL2	LANCL2	895	485	701	399	512	456	1761.03	960.001	680.026	0	176	440
gene-LANCL3	LANCL3	0	0	0	0	3	0	0	19	0	0	6	4
gene-LAP3	LAP3	212849.649	2021	3828	2029.573	51621.224	1962.086	7874.496	56651.243	3298.731	0	14367.401	38877.989
gene-LAPTM4A	LAPTM4A	27623.31	7256.835	13227.771	7258.607	3481	13045.169	39271.382	20377.315	10380.162	0	3727.459	9969.368
gene-LAPTM4B	LAPTM4B	13995.969	10268.902	11126.307	6887.749	2891.079	13240.685	27204.324	17530.391	7974.881	0	3826.779	10100.805
gene-LAPTM5	LAPTM5	5838	877	465	1803.002	1452	1375.801	1431.819	2639.185	2043.403	0	630	1765
gene-LARGE	LARGE	1988.028	2655	2059.013	1091	1090	2437.176	6243.677	2594.336	1432.016	0	591	1635.167
gene-LARP1	LARP1	1053.001	19680.421	12003.626	9529.363	8721	7264.045	20590.224	13996.273	9961.847	0	5773.977	16026.546
gene-LARP1B	LARP1B	10003.614	17172.886	6867.439	9884.562	6713.988	11893.68	7315.511	14387.57	8815.334	0	6048.633	16168.68
gene-LARP4	LARP4	611.33	31042.245	13803.019	11753.074	6951.644	4813.462	6847.466	7188.2	4662.662	0	9405.655	25350.087
gene-LARP4B	LARP4B	13906.359	21113.422	9536.999	7135.016	10424.82	9552.301	12015.292	19481.845	6860.89	0	8154.704	21894.931
gene-LARP6	LARP6	150	225	144	208	70	411.483	281	204	180	0	55	121
gene-LARP7	LARP7	3683.305	1078.999	769	634.695	1560	1970.433	2735.525	4733.069	1030.887	0	755	2019
gene-LARS	LARS	8721.396	10023.011	5403.439	11469.665	4566	5539.367	5279.8	9239.933	9480.529	0	4433.134	11821.713
gene-LARS2	LARS2	945	2320	1098	2901.818	1150	1435	2984.839	3725.946	4823.441	0	707	2072
gene-LAS1L	LAS1L	6067.543	1642.999	1501.999	1281.001	1622	3077.309	5002.04	7623.525	3157.573	0	1413.023	3621.481
gene-LASP1	LASP1	59663.719	1496	9130.048	1364	23316.874	2099	20926.622	54938.834	1230.039	0	12446.18	33998.972
gene-LAT	LAT	543	34	29	76	144	71	152	209	178	0	42	75
gene-LAT2	LAT2	490.154	23	19	68.004	157	26.001	56	326	94	0	60	172
gene-LATS1	LATS1	4370.623	5797.032	9467.708	2140	4786.188	3695.771	10186.878	7956.456	1339.068	0	4681.334	12496.851
gene-LATS2	LATS2	2065.988	7076.031	3099	2710.288	1705.999	3468.44	3456.601	2289.214	2048.869	0	952.027	2694.492
gene-LAX1	LAX1	11	13	10	74	31	17.764	28.485	24	106	0	4	18
gene-LAYN	LAYN	105	28	82	177	56	57	238.067	78	122.008	0	14	29
gene-LBH	LBH	211	139	1816	133	584	125	1972.977	830.418	85	0	420	1124.053
gene-LBP	LBP	543	14	101	16	167	32	87	24	30	0	21	58
gene-LBR	LBR	3905.421	2663.915	2163.325	1642.386	2472.79	2981.225	4435.698	7474.394	1737.175	0	2373.498	6395.495
gene-LBX1	LBX1	0	569	0	79	0	300	0	0	104	0	0	0
gene-LCA5	LCA5	19	133.826	745.782	71	93	84	692.233	167	30	0	119.093	304.013
gene-LCA5L	LCA5L	164	187	84	35	24.074	251.72	218.281	132	45	0	23	72
gene-LCAT	LCAT	437.007	153.601	185.372	125.813	69.88	316.963	693.328	172.789	355.358	0	19.087	52.422
gene-LCK	LCK	2179.809	52	248	218	640	79	812.002	1155	319	0	268	668
gene-LCLAT1	LCLAT1	4441.629	4339.152	5638.253	2033.015	2187	2987	10224.606	10469.32	2138.068	0	3544.935	9710.769
gene-LCMT1	LCMT1	6205.826	2113	2738.872	2072.104	1108	2677.82	7931.641	6201.59	2653.13	0	1319	3652.871
gene-LCMT2	LCMT2	841	750	628	253	383	794.043	1061	1544.004	167.069	0	392	980
gene-LCN12	LCN12	0	0	0	0	0	1	1	0	0	0	0	0
gene-LCN15	LCN15	94	4	9	3	36	9	41	130	0	0	20	45
gene-LCN2	LCN2	652.108	99.734	129.458	6	183.304	198.395	737.274	780.974	9.323	0	63.569	204.278
gene-LCN8	LCN8	0	0	0	0	0	0	0	0	0	0	0	0
gene-LCP1	LCP1	3844.807	958.936	358	2358.288	2660	421	339.003	593	1477.025	0	540	1368.213
gene-LCP2	LCP2	579	97.207	89	358	340	104	132.866	335	263.026	0	131	377
gene-LCT	LCT	64032.754	6	4	7	43464.795	11	24	12563.886	0	0	5692.926	15102.823
gene-LCTL	LCTL	25	3	4	4	14	6	12	9	2	0	8	22
gene-LDAH	LDAH	1125.001	501	2289.001	465	2701	247	3898.508	3301.041	611.737	0	1322.96	3451.054
gene-LDB1	LDB1	1555	2929	3947.65	1152.999	1128	3484.759	13286.595	8145.906	2101.228	0	1486.598	3835.905
gene-LDB2	LDB2	921.999	503	793.001	496.999	410.001	763.006	1060.564	531.849	602	0	159	449.999
gene-LDB3	LDB3	124	184279.317	49	58491.393	129	270394.224	178	128	199676.369	3	9	25
gene-LDHA	LDHA	62724.626	1565.817	11567	2294.325	19408.179	3603.569	25282.197	59363.735	5218.883	0	10981.201	29664.524
gene-LDHAL6B	LDHAL6B	20	24	34	24	112	15	39	17	13	0	21	63
gene-LDHB	LDHB	4519.512	97757.811	16234.383	171787.954	692.202	117655.785	38975.038	1990.102	200197.891	0	479	1390
gene-LDHD	LDHD	867	1814	737	2556.021	302	1669.978	2258.466	591	4890.18	1	59	194
gene-LDLR	LDLR	15	7	127	4	11	11	37	3	4	0	21	48
gene-LDLRAD1	LDLRAD1	47	23	37	6	7	40	122.005	10	3	0	6	9
gene-LDLRAD2	LDLRAD2	560	171	83	249	359	172	335	250	502.253	0	47	160
gene-LDLRAD3	LDLRAD3	0	18	276	9	98	8	304	58	11	0	61	153
gene-LDLRAD4	LDLRAD4	1214.999	533	619	856	1863.999	492.001	782.038	818.07	769.002	0	365.999	1052
gene-LDLRAP1	LDLRAP1	202	355	665	109	609	330.123	1928.786	1691.651	212	0	312	795
gene-LDOC1	LDOC1	2517.779	669	2168	502	367	1421.002	9603.99	1383.263	977.368	0	170	461
gene-LDOC1L	LDOC1L	513	998	630	131	365	901	2799	478	213	0	89	248
gene-LEAP2	LEAP2	54977.718	6	2859.712	3	5342	17	4260.58	17823.352	0	0	4074	11010.937
gene-LECT1	LECT1	29	16	194	7	9	21	547	2	11	0	13	32
gene-LECT2	LECT2	0	0	2	0	0	0	2	1	0	0	1	5
gene-LEF1	LEF1	44	84	182	79	35	114	379	40	40	0	10	22
gene-LEKR1	LEKR1	130	66	426	40	109	34	643	176.003	27	0	88	220
gene-LELP1	LELP1	0	0	0	0	0	0	0	0	0	0	0	0
gene-LEMD1	LEMD1	0	0	0	0	0	0	0	0	0	0	0	0
gene-LEMD2	LEMD2	13338	3313	1384	1335.861	5368	4196.728	4480.606	13943.159	2125.981	0	2419.01	6757.808
gene-LEMD3	LEMD3	1465.284	3245.107	3799.02	2138.81	1560	1041.002	2274.161	1025.16	1288.846	0	1371.128	3759.308
gene-LENEP	LENEP	5	16	13	1	16	40	32	16	3	0	6	21
gene-LENG1	LENG1	391	177	101	105	114	175	268	425	223.591	0	64	193
gene-LENG8	LENG8	544.403	1343.685	858.481	847.571	4316.592	1376.611	5703.086	4300.661	4212.559	0	578.039	1622.55
gene-LENG9	LENG9	5536.258	154.583	250.953	166.759	816.052	444.197	1341.273	1617.456	507.16	0	200.658	464.787
gene-LEO1	LEO1	2945.855	2686.371	2465.678	1333.042	948	2203.41	3524.622	2766.037	1208.704	0	930.277	2507.766
gene-LEP	LEP	13	308	96	7	5	600	210	94	6	0	29	54
gene-LEPR	LEPR	0	34	6902.769	59	24	16	4817.259	8	62.031	0	4	11
gene-LEPROT	LEPROT	3057.724	568	2323.435	1061	1228	745	5097.034	3413.425	1370.006	0	852	2356.015
gene-LEPROTL1	LEPROTL1	4022.027	2605.072	2536	898.913	641	2904.779	4671.143	3954.661	963.922	0	1038	2848.637
gene-LETM2	LETM2	626	454	538.013	541	140	682.032	1279.837	650.569	564.045	0	170	393
gene-LETMD1	LETMD1	5506.743	3185.137	3112.001	1479.888	1684	2824.531	6022.19	5776.86	1634.302	0	1264.001	3475.828
gene-LEUTX	LEUTX	0	0	0	0	0	0	0	0	0	0	0	0
gene-LEXM	LEXM	718	0	5	0	270	0	2	338.005	0	0	78	213
gene-LFNG	LFNG	61	15	47	12	70	5	92	471	13	0	99	220
gene-LGALS1	LGALS1	7079.567	1779.943	469.293	4706.234	867.674	2297.248	1200.897	1318.877	5035.004	0	255.073	648.274
gene-LGALS12	LGALS12	15	53	0	17	34	58	6	6	24	0	2	0
gene-LGALS2	LGALS2	26	0	0	0	4	0	0	0	0	0	0	0
gene-LGALS3	LGALS3	659192.09	3833	7608.179	3047.424	97113.013	4355.54	16663.948	181754.101	2777.069	1	44363.274	118254.83
gene-LGALS3BP	LGALS3BP	11594.14	67	111	533	4472	143	696	17146.897	1337	0	1452.551	3778.536
gene-LGALS4	LGALS4	496194.464	244	346.389	180	64090.949	553	1363.285	414538.471	309.999	0	73762.132	202584.532
gene-LGALS7	LGALS7	41	1	31	0.5	63	2	98	212	0	0	15	0
gene-LGALS8	LGALS8	6530.137	911.846	3623.891	1280.302	2961.396	1156.253	7230.871	11120.861	1432.284	0	2918.99	7945.803
gene-LGALSL	LGALSL	4227.01	6443.005	2050.009	5782.627	1852	3834.7	3259.418	7499.034	5139.819	0	2487.801	6619.294
gene-LGI1	LGI1	259	17	19	36	64	18	6	149	19	0	48	129
gene-LGI2	LGI2	623	44	1534	73	161	139	3286.063	210	173	0	46	135
gene-LGI3	LGI3	107	12	98	0	27	41	361	53	6	0	6	19
gene-LGI4	LGI4	730	48	25	16	181	89	134	356	20	0	58	152
gene-LGMN	LGMN	19732.995	5721.561	104385.263	4098.606	5636.863	6914.017	232875.709	10412.664	5568.574	0	1969.062	5285.121
