rna-XM_005852746.1	gene-TOMM6	TOMM6
rna-XM_005860249.2	gene-PPP1R14D	PPP1R14D
gene-LOC102257358	gene-LOC102257358	LOC102257358
gene-LOC106725068	gene-LOC106725068	LOC106725068
rna-XM_005860334.2	gene-SPINT1	SPINT1
rna-XM_005860254.2	gene-RHOV	RHOV
rna-XM_005860255.2	gene-VPS18	VPS18
rna-XM_005860335.2	gene-DLL4	DLL4
rna-XM_014534795.1	gene-LOC106725061	LOC106725061
rna-XM_014534857.1	gene-CHAC1	CHAC1
gene-LOC102258278	gene-LOC102258278	LOC102258278
rna-XM_005860256.2	gene-INO80	INO80
rna-XM_014534797.1	gene-INO80	INO80
rna-XM_014534798.1	gene-INO80	INO80
gene-LOC102258574	gene-LOC102258574	LOC102258574
gene-LOC102259165	gene-LOC102259165	LOC102259165
gene-LOC102258575	gene-LOC102258575	LOC102258575
rna-XM_014534799.1	gene-EXD1	EXD1
rna-XM_014534800.1	gene-EXD1	EXD1
gene-LOC102259166	gene-LOC102259166	LOC102259166
rna-XM_005860258.2	gene-CHP1	CHP1
rna-XR_313242.2	gene-LOC102259756	LOC102259756
rna-XR_001360931.1	gene-LOC102259756	LOC102259756
rna-XR_313241.2	gene-LOC102259756	LOC102259756
rna-XR_001360932.1	gene-LOC106725062	LOC106725062
rna-XM_014534858.1	gene-OIP5	OIP5
rna-XM_014534803.1	gene-NUSAP1	NUSAP1
rna-XM_005860259.2	gene-NUSAP1	NUSAP1
rna-XM_014534802.1	gene-NUSAP1	NUSAP1
rna-XM_005860266.2	gene-NDUFAF1	NDUFAF1
rna-XM_014534805.1	gene-RTF1	RTF1
rna-XM_014534804.1	gene-RTF1	RTF1
rna-XM_005860267.2	gene-ITPKA	ITPKA
rna-XM_014534859.1	gene-LTK	LTK
rna-XM_014534806.1	gene-RPAP1	RPAP1
rna-XM_005860268.2	gene-RPAP1	RPAP1
rna-XM_014534807.1	gene-TYRO3	TYRO3
rna-XM_005860341.2	gene-TYRO3	TYRO3
rna-XM_014534808.1	gene-TYRO3	TYRO3
gene-LOC102260669	gene-LOC102260669	LOC102260669
gene-LOC106723597	gene-LOC106723597	LOC106723597
rna-XM_014534810.1	gene-MGA	MGA
rna-XM_014534815.1	gene-MGA	MGA
rna-XM_014534809.1	gene-MGA	MGA
rna-XM_014534812.1	gene-MGA	MGA
rna-XM_014534816.1	gene-MGA	MGA
rna-XM_014534817.1	gene-MGA	MGA
rna-XM_014534819.1	gene-MGA	MGA
rna-XM_014534813.1	gene-MGA	MGA
rna-XM_014534814.1	gene-MGA	MGA
rna-XM_005860276.2	gene-MGA	MGA
rna-XM_014534818.1	gene-MGA	MGA
rna-XM_014534811.1	gene-MGA	MGA
rna-XM_014534820.1	gene-MGA	MGA
rna-XM_014534821.1	gene-MGA	MGA
rna-XM_014534823.1	gene-MAPKBP1	MAPKBP1
rna-XM_005860277.2	gene-MAPKBP1	MAPKBP1
rna-XM_005860280.2	gene-MAPKBP1	MAPKBP1
rna-XM_014534822.1	gene-MAPKBP1	MAPKBP1
rna-XM_005860285.2	gene-LOC102239879	LOC102239879
rna-XM_014534825.1	gene-LOC102239879	LOC102239879
rna-XM_014534824.1	gene-LOC102239879	LOC102239879
rna-XM_014534827.1	gene-LOC102239879	LOC102239879
rna-XM_014534826.1	gene-LOC102239879	LOC102239879
rna-XM_005860286.2	gene-LOC102240682	LOC102240682
rna-XR_001360933.1	gene-LOC106725063	LOC106725063
rna-XM_014534828.1	gene-SPTBN5	SPTBN5
rna-XM_005860288.2	gene-EHD4	EHD4
rna-XM_014534829.1	gene-PLA2G4E	PLA2G4E
rna-XM_005860289.2	gene-PLA2G4D	PLA2G4D
gene-LOC102242199	gene-LOC102242199	LOC102242199
rna-XM_005860290.2	gene-PLA2G4F	PLA2G4F
rna-XM_014534830.1	gene-PLA2G4F	PLA2G4F
rna-XM_005860291.2	gene-VPS39	VPS39
rna-XM_014534831.1	gene-VPS39	VPS39
rna-XM_014534832.1	gene-VPS39	VPS39
rna-XM_005860299.2	gene-TMEM87A	TMEM87A
rna-XM_014534835.1	gene-TMEM87A	TMEM87A
rna-XM_014534834.1	gene-TMEM87A	TMEM87A
rna-XM_005860300.2	gene-TMEM87A	TMEM87A
rna-XM_005860298.2	gene-TMEM87A	TMEM87A
rna-XM_014534833.1	gene-TMEM87A	TMEM87A
rna-XR_001360934.1	gene-TMEM87A	TMEM87A
rna-XM_005860296.2	gene-GANC	GANC
rna-XM_005860293.2	gene-GANC	GANC
rna-XM_005860294.2	gene-GANC	GANC
rna-XM_005860297.2	gene-GANC	GANC
gene-LOC102251365	gene-LOC102251365	LOC102251365
rna-XM_005860301.2	gene-CAPN3	CAPN3
rna-XM_005860306.2	gene-CAPN3	CAPN3
rna-XM_014534836.1	gene-CAPN3	CAPN3
rna-XM_014534840.1	gene-ZNF106	ZNF106
rna-XM_014534838.1	gene-ZNF106	ZNF106
rna-XM_014534837.1	gene-ZNF106	ZNF106
rna-XM_014534839.1	gene-ZNF106	ZNF106
gene-LOC102261242	gene-LOC102261242	LOC102261242
rna-XM_005860310.2	gene-SNAP23	SNAP23
rna-XM_014534841.1	gene-LRRC57	LRRC57
rna-XM_005860311.2	gene-LRRC57	LRRC57
rna-XM_014534861.1	gene-HAUS2	HAUS2
rna-XR_001360936.1	gene-LOC106725064	LOC106725064
gene-LOC102248082	gene-LOC102248082	LOC102248082
rna-XM_005860343.2	gene-STARD9	STARD9
rna-XR_001360935.1	gene-LOC102248382	LOC102248382
gene-LOC102251664	gene-LOC102251664	LOC102251664
rna-XM_005860314.2	gene-CDAN1	CDAN1
rna-XM_014534842.1	gene-CDAN1	CDAN1
rna-XM_014534843.1	gene-CDAN1	CDAN1
rna-XM_014534845.1	gene-TTBK2	TTBK2
rna-XM_005860316.2	gene-TTBK2	TTBK2
rna-XM_014534844.1	gene-TTBK2	TTBK2
gene-LOC102249189	gene-LOC102249189	LOC102249189
rna-XM_014534848.1	gene-UBR1	UBR1
rna-XM_014534846.1	gene-UBR1	UBR1
rna-XM_005860317.2	gene-UBR1	UBR1
rna-XM_014534847.1	gene-UBR1	UBR1
rna-XR_001360937.1	gene-UBR1	UBR1
rna-XM_014534849.1	gene-UBR1	UBR1
rna-XR_313244.2	gene-LOC102250284	LOC102250284
rna-XM_005860344.2	gene-KIAA1324L	KIAA1324L
rna-XM_014534862.1	gene-GRM3	GRM3
rna-XM_014534863.1	gene-GRM3	GRM3
rna-XM_014534864.1	gene-LOC102263164	LOC102263164
gene-LOC102263462	gene-LOC102263462	LOC102263462
gene-LOC102263767	gene-LOC102263767	LOC102263767
rna-XM_005860346.2	gene-CPPED1	CPPED1
rna-XM_005860347.2	gene-CPPED1	CPPED1
rna-XM_005860350.2	gene-LOC102264085	LOC102264085
gene-LOC102238727	gene-LOC102238727	LOC102238727
rna-XM_005860352.2	gene-LOC102239657	LOC102239657
gene-LOC102239047	gene-LOC102239047	LOC102239047
gene-LOC102239974	gene-LOC102239974	LOC102239974
rna-XM_005860354.2	gene-LOC102240286	LOC102240286
rna-XM_005860351.1	gene-LOC102239353	LOC102239353
rna-XM_005860355.1	gene-LOC102240595	LOC102240595
rna-XR_001360940.1	gene-LOC106725071	LOC106725071
rna-XM_014534866.1	gene-SPDL1	SPDL1
rna-XM_005860356.2	gene-SPDL1	SPDL1
rna-XM_014534865.1	gene-SPDL1	SPDL1
rna-XM_014534868.1	gene-DOCK2	DOCK2
rna-XM_014534867.1	gene-FAM196B	FAM196B
rna-XM_005860357.2	gene-FAM196B	FAM196B
rna-XM_005860359.2	gene-FOXI1	FOXI1
rna-XR_001360941.1	gene-LOC102242503	LOC102242503
rna-XR_313246.2	gene-LOC102242503	LOC102242503
rna-XR_001360942.1	gene-LOC102242322	LOC102242322
rna-XR_313245.2	gene-LOC102242322	LOC102242322
rna-XM_014534870.1	gene-LOC102242708	LOC102242708
rna-XM_005860361.2	gene-LCP2	LCP2
rna-XM_014534871.1	gene-LCP2	LCP2
rna-XM_014534872.1	gene-KCNIP1	KCNIP1
rna-XM_005860365.2	gene-KCNIP1	KCNIP1
rna-XM_005860363.2	gene-KCNIP1	KCNIP1
rna-XM_005860364.2	gene-KCNIP1	KCNIP1
rna-XM_014534873.1	gene-KCNIP1	KCNIP1
rna-XM_014534874.1	gene-KCNIP1	KCNIP1
rna-XM_005860366.2	gene-KCNMB1	KCNMB1
rna-XM_014534876.1	gene-KCNMB1	KCNMB1
rna-XM_014534931.1	gene-CNTN3	CNTN3
rna-XM_014534932.1	gene-LOC102261724	LOC102261724
gene-LOC102262022	gene-LOC102262022	LOC102262022
rna-XM_005860367.2	gene-POMGNT2	POMGNT2
rna-XM_014534933.1	gene-FAM198A	FAM198A
rna-XM_014534879.1	gene-KRBOX1	KRBOX1
rna-XM_014534878.1	gene-ZNF662	ZNF662
rna-XM_005860368.2	gene-ZNF662	ZNF662
rna-XM_014534877.1	gene-ZNF662	ZNF662
rna-XM_005860372.2	gene-LOC102245777	LOC102245777
rna-XM_005860374.2	gene-ACKR2	ACKR2
rna-XM_005860375.2	gene-ACKR2	ACKR2
rna-XM_005860376.2	gene-ACKR2	ACKR2
rna-XM_005860373.2	gene-ACKR2	ACKR2
rna-XM_014534880.1	gene-ACKR2	ACKR2
rna-XR_001360945.1	gene-LOC102247500	LOC102247500
rna-XR_313249.2	gene-LOC102247500	LOC102247500
rna-XR_001360943.1	gene-LOC102247500	LOC102247500
rna-XR_001360946.1	gene-LOC102247500	LOC102247500
rna-XR_001360944.1	gene-LOC102247500	LOC102247500
rna-XR_313251.2	gene-LOC102247500	LOC102247500
rna-XR_001360947.1	gene-LOC102247500	LOC102247500
rna-XR_001360948.1	gene-LOC102247500	LOC102247500
rna-XM_005860377.2	gene-HIGD1A	HIGD1A
rna-XM_014534881.1	gene-HIGD1A	HIGD1A
rna-XM_005860378.2	gene-HIGD1A	HIGD1A
rna-XR_001360949.1	gene-LOC106725073	LOC106725073
rna-XM_005860380.2	gene-CCDC13	CCDC13
rna-XM_014534883.1	gene-CCDC13	CCDC13
rna-XM_014534884.1	gene-CCDC13	CCDC13
rna-XM_014534885.1	gene-CCDC13	CCDC13
rna-XM_005860379.2	gene-CCDC13	CCDC13
rna-XM_014534882.1	gene-CCDC13	CCDC13
rna-XM_014534889.1	gene-HHATL	HHATL
rna-XM_005860381.2	gene-HHATL	HHATL
rna-XM_014534887.1	gene-HHATL	HHATL
rna-XM_014534888.1	gene-HHATL	HHATL
rna-XM_014534890.1	gene-HHATL	HHATL
rna-XM_005860432.2	gene-KLHL40	KLHL40
rna-XR_001360950.1	gene-LOC106725074	LOC106725074
rna-XM_014534935.1	gene-ZBTB47	ZBTB47
rna-XM_014534897.1	gene-NKTR	NKTR
rna-XM_005860382.2	gene-NKTR	NKTR
rna-XM_014534891.1	gene-NKTR	NKTR
rna-XM_014534892.1	gene-NKTR	NKTR
rna-XM_014534894.1	gene-NKTR	NKTR
rna-XM_014534895.1	gene-NKTR	NKTR
rna-XM_005860383.2	gene-NKTR	NKTR
rna-XM_005860386.2	gene-NKTR	NKTR
rna-XM_014534896.1	gene-NKTR	NKTR
rna-XM_014534904.1	gene-SS18L2	SS18L2
rna-XM_014534901.1	gene-SEC22C	SEC22C
rna-XM_014534903.1	gene-SEC22C	SEC22C
rna-XM_005860389.2	gene-SEC22C	SEC22C
rna-XM_014534902.1	gene-SEC22C	SEC22C
rna-XM_005860390.2	gene-SEC22C	SEC22C
rna-XM_005860393.2	gene-VIPR1	VIPR1
rna-XM_014534899.1	gene-VIPR1	VIPR1
rna-XM_014534898.1	gene-VIPR1	VIPR1
rna-XM_005860394.1	gene-LYZL4	LYZL4
rna-XM_005860434.2	gene-LOC102263264	LOC102263264
rna-XM_005860435.1	gene-CCK	CCK
rna-XM_005860396.2	gene-TRAK1	TRAK1
rna-XM_014534907.1	gene-TRAK1	TRAK1
rna-XM_014534908.1	gene-TRAK1	TRAK1
rna-XM_014534906.1	gene-TRAK1	TRAK1
rna-XM_014534905.1	gene-TRAK1	TRAK1
rna-XM_005860397.2	gene-TRAK1	TRAK1
rna-XR_001360952.1	gene-LOC106725076	LOC106725076
rna-XR_001360951.1	gene-LOC106725075	LOC106725075
rna-XR_001360953.1	gene-LOC106725077	LOC106725077
rna-XM_005860404.2	gene-ULK4	ULK4
rna-XM_014534909.1	gene-ULK4	ULK4
rna-XM_005860399.2	gene-CTNNB1	CTNNB1
rna-XM_005860400.2	gene-CTNNB1	CTNNB1
rna-XM_005860401.2	gene-CTNNB1	CTNNB1
rna-XR_313253.2	gene-LOC102254238	LOC102254238
rna-XR_001360957.1	gene-LOC106725079	LOC106725079
rna-XM_014534910.1	gene-ZNF621	ZNF621
rna-XM_005860405.2	gene-ZNF620	ZNF620
rna-XM_014534911.1	gene-ZNF620	ZNF620
rna-XM_005860407.2	gene-RPL14	RPL14
rna-XM_005860408.2	gene-ENTPD3	ENTPD3
rna-XM_005860409.2	gene-LOC102255656	LOC102255656
rna-XM_014534936.1	gene-EIF1B	EIF1B
rna-XM_014534937.1	gene-MYRIP	MYRIP
rna-XR_001360954.1	gene-LOC106725078	LOC106725078
rna-XM_014534912.1	gene-MOBP	MOBP
rna-XM_005860412.2	gene-MOBP	MOBP
rna-XM_005860411.2	gene-MOBP	MOBP
rna-XM_014534914.1	gene-MOBP	MOBP
rna-XM_014534915.1	gene-MOBP	MOBP
rna-XM_014534913.1	gene-MOBP	MOBP
rna-XM_005860413.2	gene-MOBP	MOBP
rna-XM_005860414.2	gene-RPSA	RPSA
rna-XM_005860437.2	gene-LOC102238830	LOC102238830
rna-XR_001360955.1	gene-LOC102238830	LOC102238830
rna-XM_014534917.1	gene-SLC25A38	SLC25A38
rna-XM_005860416.2	gene-SLC25A38	SLC25A38
rna-XM_005860415.2	gene-SLC25A38	SLC25A38
rna-XM_005860417.2	gene-CCR8	CCR8
rna-XM_005860438.1	gene-LOC102239146	LOC102239146
rna-XM_005860420.2	gene-CX3CR1	CX3CR1
rna-XM_005860419.2	gene-CX3CR1	CX3CR1
rna-XR_001360956.1	gene-CX3CR1	CX3CR1
rna-XM_005860418.2	gene-CX3CR1	CX3CR1
rna-XM_005860421.2	gene-XIRP1	XIRP1
rna-XM_014534918.1	gene-XIRP1	XIRP1
rna-XM_014534919.1	gene-XIRP1	XIRP1
rna-XM_014534920.1	gene-XIRP1	XIRP1
rna-XM_014534921.1	gene-CSRNP1	CSRNP1
rna-XM_014534925.1	gene-TTC21A	TTC21A
rna-XM_005860425.2	gene-GORASP1	GORASP1
rna-XM_014534924.1	gene-WDR48	WDR48
rna-XM_014534922.1	gene-SCN11A	SCN11A
rna-XM_014534926.1	gene-SCN10A	SCN10A
rna-XM_014534938.1	gene-SCN5A	SCN5A
rna-XM_014534928.1	gene-EXOG	EXOG
rna-XM_014534930.1	gene-EXOG	EXOG
rna-XM_014534929.1	gene-EXOG	EXOG
rna-XM_014534927.1	gene-EXOG	EXOG
gene-LOC102240377	gene-LOC102240377	LOC102240377
rna-XM_005860453.1	gene-LOC102244690	LOC102244690
rna-TRNAV-UAC	gene-TRNAV-UAC	TRNAV-UAC
rna-TRNAR-UCU-2	gene-TRNAR-UCU-2	TRNAR-UCU
rna-TRNAK-UUU	gene-TRNAK-UUU	TRNAK-UUU
rna-TRNAF-GAA	gene-TRNAF-GAA	TRNAF-GAA
rna-TRNAF-GAA-2	gene-TRNAF-GAA-2	TRNAF-GAA
rna-XM_005860442.2	gene-OSBP	OSBP
rna-XM_005860443.2	gene-PATL1	PATL1
rna-XR_001360958.1	gene-LOC106725080	LOC106725080
rna-XR_001360959.1	gene-LOC102241285	LOC102241285
rna-XR_001360960.1	gene-LOC102241285	LOC102241285
rna-XM_014534945.1	gene-STX3	STX3
rna-XR_001360961.1	gene-STX3	STX3
rna-XM_014534939.1	gene-STX3	STX3
rna-XM_014534940.1	gene-STX3	STX3
rna-XM_014534942.1	gene-STX3	STX3
rna-XM_014534943.1	gene-STX3	STX3
rna-XM_014534944.1	gene-STX3	STX3
rna-XM_014534941.1	gene-STX3	STX3
rna-XM_005860445.2	gene-MRPL16	MRPL16
rna-XM_005860444.2	gene-GIF	GIF
rna-XM_005860450.2	gene-TCN1	TCN1
rna-XM_005860447.2	gene-MS4A2	MS4A2
rna-XM_005860448.2	gene-MS4A2	MS4A2
rna-XM_014534946.1	gene-MS4A2	MS4A2
rna-XM_005860449.2	gene-MS4A2	MS4A2
gene-LOC102244988	gene-LOC102244988	LOC102244988
rna-XR_001360962.1	gene-LOC106725082	LOC106725082
rna-XM_014534948.1	gene-LOC106725081	LOC106725081
rna-XM_014534947.1	gene-LOC106725081	LOC106725081
rna-XM_014534951.1	gene-LOC102245284	LOC102245284
gene-LOC106725083	gene-LOC106725083	LOC106725083
rna-XM_005860455.1	gene-LOC102245582	LOC102245582
rna-XM_014534956.1	gene-MS4A1	MS4A1
rna-XM_014534954.1	gene-MS4A1	MS4A1
rna-XM_014534955.1	gene-MS4A1	MS4A1
rna-XM_005860456.1	gene-MS4A13	MS4A13
rna-XM_014534950.1	gene-LOC102243808	LOC102243808
rna-XM_005860457.2	gene-LOC102246190	LOC102246190
rna-XM_005860458.2	gene-LOC102246503	LOC102246503
rna-XM_014534949.1	gene-LOC102246503	LOC102246503
rna-XM_005860452.2	gene-LOC102244097	LOC102244097
rna-XM_014534957.1	gene-LOC102246809	LOC102246809
rna-XM_014534952.1	gene-CCDC73	CCDC73
rna-XM_005860461.2	gene-EIF3M	EIF3M
rna-XM_014534953.1	gene-WT1	WT1
rna-XM_005860478.2	gene-MALL	MALL
rna-XM_014534958.1	gene-MALL	MALL
rna-XM_014534959.1	gene-MALL	MALL
rna-XM_005860479.1	gene-MAL	MAL
rna-XM_014534963.1	gene-MRPS5	MRPS5
rna-XM_014534962.1	gene-MRPS5	MRPS5
rna-XM_014534960.1	gene-ZNF2	ZNF2
rna-XM_014534961.1	gene-ZNF2	ZNF2
rna-XM_005860481.2	gene-ZNF2	ZNF2
gene-LOC102249281	gene-LOC102249281	LOC102249281
gene-LOC102255141	gene-LOC102255141	LOC102255141
rna-XM_014534973.1	gene-LOC102255446	LOC102255446
rna-XM_005860464.2	gene-PROM2	PROM2
rna-XM_014534965.1	gene-KCNIP3	KCNIP3
rna-XM_005860465.2	gene-KCNIP3	KCNIP3
rna-XM_005860466.2	gene-KCNIP3	KCNIP3
rna-XM_005860467.2	gene-KCNIP3	KCNIP3
rna-XM_014534964.1	gene-KCNIP3	KCNIP3
rna-XM_014534967.1	gene-FAHD2A	FAHD2A
rna-XM_005860468.2	gene-FAHD2A	FAHD2A
rna-XM_014534966.1	gene-FAHD2A	FAHD2A
rna-XM_014534968.1	gene-GPAT2	GPAT2
rna-XM_005860482.2	gene-GPAT2	GPAT2
rna-XM_005860469.1	gene-ADRA2B	ADRA2B
rna-XM_014534969.1	gene-ADRA2B	ADRA2B
rna-XM_005860483.1	gene-ASTL	ASTL
rna-XM_014534974.1	gene-DUSP2	DUSP2
rna-XM_005860485.2	gene-STARD7	STARD7
rna-XM_005860470.2	gene-PDCL3	PDCL3
rna-XM_005860477.2	gene-NMS	NMS
gene-LOC102253344	gene-LOC102253344	LOC102253344
rna-XM_005860472.2	gene-CHST10	CHST10
rna-XM_005860474.2	gene-CHST10	CHST10
rna-XM_005860475.2	gene-CHST10	CHST10
rna-XM_005860476.2	gene-CHST10	CHST10
rna-XM_014534971.1	gene-CHST10	CHST10
rna-XM_005860471.2	gene-CHST10	CHST10
rna-XM_014534972.1	gene-CHST10	CHST10
rna-XM_014534975.1	gene-LOC106725086	LOC106725086
rna-XM_014534976.1	gene-LOC106725087	LOC106725087
rna-XM_005860486.2	gene-LOC102256956	LOC102256956
rna-XR_001360963.1	gene-LOC106725084	LOC106725084
rna-XR_001360964.1	gene-LOC106725088	LOC106725088
rna-XR_001360965.1	gene-LOC106725089	LOC106725089
rna-XM_005860487.2	gene-LOC102257264	LOC102257264
gene-LOC102257564	gene-LOC102257564	LOC102257564
rna-XM_005860488.1	gene-LOC102257874	LOC102257874
gene-LOC102258179	gene-LOC102258179	LOC102258179
rna-XM_005860489.2	gene-LOC102258486	LOC102258486
gene-LOC102258773	gene-LOC102258773	LOC102258773
rna-XM_005860490.2	gene-PLRG1	PLRG1
rna-XM_014534977.1	gene-PLRG1	PLRG1
rna-XM_005860491.2	gene-FGB	FGB
rna-XM_014535018.1	gene-FGA	FGA
rna-XM_005860495.2	gene-FGG	FGG
rna-XM_005860494.2	gene-FGG	FGG
rna-XM_005860497.2	gene-LOC102261243	LOC102261243
gene-LOC102260954	gene-LOC102260954	LOC102260954
rna-XM_005860499.1	gene-LRAT	LRAT
rna-XM_005860498.2	gene-LRAT	LRAT
rna-XM_014535025.1	gene-RBM46	RBM46
rna-XM_005860500.2	gene-RBM46	RBM46
gene-LOC102248990	gene-LOC102248990	LOC102248990
rna-XM_005860501.2	gene-NPY2R	NPY2R
rna-XM_005860502.2	gene-NPY2R	NPY2R
gene-LOC102249283	gene-LOC102249283	LOC102249283
rna-XM_014535019.1	gene-LOC102249584	LOC102249584
rna-XM_014534979.1	gene-TLL1	TLL1
rna-XM_005860503.2	gene-TLL1	TLL1
rna-XM_005860504.2	gene-TLL1	TLL1
rna-XM_014535021.1	gene-CPE	CPE
rna-XM_005860506.2	gene-MSMO1	MSMO1
rna-XM_014534981.1	gene-KLHL2	KLHL2
rna-XM_005860507.2	gene-KLHL2	KLHL2
rna-XM_014534980.1	gene-KLHL2	KLHL2
gene-LOC102239447	gene-LOC102239447	LOC102239447
rna-XM_014534983.1	gene-TMEM192	TMEM192
rna-XM_005860508.2	gene-TMEM192	TMEM192
rna-XM_014534984.1	gene-TMEM192	TMEM192
rna-XM_014534985.1	gene-TMEM192	TMEM192
rna-XM_014534986.1	gene-TMEM192	TMEM192
rna-XM_014534982.1	gene-LOC102239767	LOC102239767
gene-LOC102240071	gene-LOC102240071	LOC102240071
rna-XM_005860543.2	gene-LOC102249881	LOC102249881
gene-LOC106725091	gene-LOC106725091	LOC106725091
rna-XM_005860511.2	gene-LOC102240378	LOC102240378
gene-LOC102240684	gene-LOC102240684	LOC102240684
gene-LOC102250178	gene-LOC102250178	LOC102250178
rna-XM_005860541.2	gene-LOC102248692	LOC102248692
rna-XM_005860545.1	gene-LOC102250491	LOC102250491
gene-LOC102250784	gene-LOC102250784	LOC102250784
rna-XM_005860546.1	gene-LOC102251078	LOC102251078
rna-XM_005860547.1	gene-LOC102251665	LOC102251665
rna-XM_014535022.1	gene-LOC102251966	LOC102251966
rna-XM_005860548.1	gene-LOC102252260	LOC102252260
gene-LOC102252546	gene-LOC102252546	LOC102252546
gene-LOC102253147	gene-LOC102253147	LOC102253147
rna-XM_005860552.2	gene-LOC102253753	LOC102253753
rna-XM_005860553.2	gene-LOC102254055	LOC102254055
rna-XM_005860554.1	gene-LOC102254352	LOC102254352
rna-XM_005860556.1	gene-LOC102254940	LOC102254940
rna-XM_014534987.1	gene-APELA	APELA
gene-LOC106725092	gene-LOC106725092	LOC106725092
rna-XM_005860516.2	gene-MARCH1	MARCH1
rna-XM_014534989.1	gene-MARCH1	MARCH1
rna-XM_014534990.1	gene-MARCH1	MARCH1
rna-XM_014534991.1	gene-MARCH1	MARCH1
rna-XM_005860518.2	gene-MARCH1	MARCH1
rna-XM_005860515.2	gene-MARCH1	MARCH1
rna-XM_014534988.1	gene-MARCH1	MARCH1
gene-LOC102255238	gene-LOC102255238	LOC102255238
gene-LOC106725100	gene-LOC106725100	LOC106725100
rna-XR_001360968.1	gene-LOC106725093	LOC106725093
rna-XM_014534992.1	gene-TMA16	TMA16
rna-XM_005860557.1	gene-TKTL2	TKTL2
rna-XM_005860519.2	gene-NPY5R	NPY5R
rna-XR_001360969.1	gene-LOC106725094	LOC106725094
rna-XM_005860520.2	gene-NPY1R	NPY1R
rna-XM_005860521.2	gene-NPY1R	NPY1R
rna-XM_014534994.1	gene-NPY1R	NPY1R
rna-XM_014535023.1	gene-NAF1	NAF1
gene-LOC102256151	gene-LOC102256151	LOC102256151
rna-XM_005860522.2	gene-FSTL5	FSTL5
rna-XM_014534995.1	gene-FSTL5	FSTL5
rna-XR_001360970.1	gene-LOC106725095	LOC106725095
gene-LOC102256448	gene-LOC102256448	LOC102256448
gene-LOC106725096	gene-LOC106725096	LOC106725096
rna-XM_005860559.1	gene-LOC102257044	LOC102257044
gene-LOC102257360	gene-LOC102257360	LOC102257360
rna-XM_005860560.1	gene-LOC102257666	LOC102257666
gene-LOC102244099	gene-LOC102244099	LOC102244099
gene-LOC102257977	gene-LOC102257977	LOC102257977
rna-XM_005860561.1	gene-LOC102258281	LOC102258281
rna-XM_014535005.1	gene-RAPGEF2	RAPGEF2
rna-XM_005860525.2	gene-RAPGEF2	RAPGEF2
rna-XM_014535003.1	gene-RAPGEF2	RAPGEF2
rna-XM_014535004.1	gene-RAPGEF2	RAPGEF2
rna-XM_014535002.1	gene-RAPGEF2	RAPGEF2
rna-XM_014535000.1	gene-RAPGEF2	RAPGEF2
rna-XM_014535001.1	gene-RAPGEF2	RAPGEF2
rna-XM_005860524.2	gene-RAPGEF2	RAPGEF2
rna-XM_014534997.1	gene-RAPGEF2	RAPGEF2
rna-XM_014534996.1	gene-RAPGEF2	RAPGEF2
rna-XM_014534999.1	gene-RAPGEF2	RAPGEF2
rna-XM_014534998.1	gene-RAPGEF2	RAPGEF2
rna-XM_014535006.1	gene-RAPGEF2	RAPGEF2
rna-XR_001360971.1	gene-RAPGEF2	RAPGEF2
rna-XR_001360973.1	gene-LOC106725098	LOC106725098
rna-XR_001360972.1	gene-LOC106725097	LOC106725097
gene-LOC106725101	gene-LOC106725101	LOC106725101
rna-XM_005860562.1	gene-LOC102258577	LOC102258577
rna-XM_005860527.2	gene-FNIP2	FNIP2
rna-XM_005860528.2	gene-FNIP2	FNIP2
rna-XM_014535007.1	gene-FNIP2	FNIP2
rna-XM_005860526.2	gene-FNIP2	FNIP2
rna-XM_005860529.2	gene-PPID	PPID
rna-XM_014535012.1	gene-ETFDH	ETFDH
rna-XM_005860530.2	gene-LOC102245882	LOC102245882
rna-XM_014535011.1	gene-RXFP1	RXFP1
rna-XM_014535008.1	gene-RXFP1	RXFP1
rna-XM_014535009.1	gene-RXFP1	RXFP1
rna-XM_014535010.1	gene-RXFP1	RXFP1
rna-XM_005860564.2	gene-TMEM144	TMEM144
rna-XM_005860532.2	gene-FAM198B	FAM198B
rna-XM_005860533.2	gene-FAM198B	FAM198B
rna-XM_014535013.1	gene-FAM198B	FAM198B
rna-XM_005860535.2	gene-GRIA2	GRIA2
rna-XM_005860534.2	gene-GRIA2	GRIA2
rna-XM_005860536.2	gene-GRIA2	GRIA2
rna-XM_005860537.2	gene-GRIA2	GRIA2
rna-XM_014535014.1	gene-GRIA2	GRIA2
rna-XM_014535015.1	gene-GRIA2	GRIA2
rna-XM_014535017.1	gene-GRIA2	GRIA2
rna-XM_014535016.1	gene-GRIA2	GRIA2
rna-XM_005860539.2	gene-GLRB	GLRB
rna-XR_001360974.1	gene-LOC106725099	LOC106725099
rna-XM_014535024.1	gene-PDGFC	PDGFC
rna-XM_005860565.1	gene-LOC102259456	LOC102259456
rna-XM_014535028.1	gene-LOC106725102	LOC106725102
rna-XM_014535029.1	gene-LOC106725102	LOC106725102
rna-XM_014535027.1	gene-LOC106725102	LOC106725102
rna-XM_014535026.1	gene-LOC106725102	LOC106725102
rna-XR_001360975.1	gene-LOC106725103	LOC106725103
rna-XR_001360981.1	gene-LOC106725109	LOC106725109
rna-XM_005860566.2	gene-BTBD3	BTBD3
gene-LOC102245669	gene-LOC102245669	LOC102245669
gene-LOC102245968	gene-LOC102245968	LOC102245968
rna-XR_001360982.1	gene-LOC106725110	LOC106725110
