gene_id	gene_name	L1_P25558_101_S30	L1_P25558_102_S31	L1_P25558_103_S32	L1_P25558_104_S33	L1_P25558_106_S35	L2_P24120_101	L2_P24120_102	L2_P24120_104	L2_P24120_105	L2_P24120_106	L3_P24120_103_S130	L3_P24120_103_S51
gene-LOC102241070	LOC102241070	0	0	0.378077	0	0	0	0	0	0	0	0	0
gene-LOC102241072	LOC102241072	0	0	0	0	0	0	0	0.02804	0	0	0	0
gene-LOC102241075	LOC102241075	0.59376	4.381875	10.293151	1.124164	4.633141	5.665717	10.467705	6.287241	0.381027	0	4.954419	5.388193
gene-LOC102241078	LOC102241078	0	0.211739	0.09672	0.451877	0	0.051294	0	0	0	0	0.284022	0.158661
gene-LOC102241080	LOC102241080	0	0.172321	0.734581	0	0	0	0.050998	0	0	0	0	0
gene-LOC102241090	LOC102241090	0	0	0.051201	0	0	0.037122	0.254455	0.211769	0.083516	0	0.16966	0.18017
gene-LOC102241094	LOC102241094	0	1.27181	6.841798	0.544288	1.395973	0	0.078261	0.214677	0.024325	0	4.762735	4.915828
gene-LOC102241095	LOC102241095	0	0	0.072411	0	0	0	0.033646	0	0	0	0.10695	0.039776
gene-LOC102241097	LOC102241097	7.30287	2.626465	15.546593	2.101891	13.083277	1.84056	10.25451	10.50354	1.609907	0	17.603049	18.315651
gene-LOC102241102	LOC102241102	0	0	0	0	0	0	0	0	0.058407	0	0	0
gene-LOC102241103	LOC102241103	0.461689	6.822961	1.368141	1.462035	1.16014	6.899178	3.953474	1.814371	4.438637	0	0.424716	0.409823
gene-LOC102241104	LOC102241104	0	0	0	0	0	0	0	0	0	0	0.35904	0.033357
gene-LOC102241108	LOC102241108	0.074266	1.261429	2.024813	0.892489	1.521637	0.30104	0.626811	0.621683	0.14399	0	2.354439	2.149422
gene-LOC102241109	LOC102241109	80.279507	85.177397	107.600806	54.760797	135.339931	60.136461	78.132861	180.101744	40.984624	0	197.855199	183.378108
gene-LOC102241111	LOC102241111	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241114	LOC102241114	0	2.300511	4.467524	2.069359	3.627931	3.512415	3.598919	0.70228	0.904233	0	3.400679	4.121836
gene-LOC102241117	LOC102241117	16.651221	24.940832	25.166651	21.257865	10.436887	30.401197	22.599388	13.004834	29.442223	0	16.989828	15.886862
gene-LOC102241124	LOC102241124	0.164467	0.34676	0.492941	0.243654	0.940312	0	0.065244	0.101695	0.04057	0	0.728543	0.503127
gene-LOC102241128	LOC102241128	0.040174	0.11634	0	0.111626	0.068089	0.011815	0.005344	0	0.039846	0	0	0
gene-LOC102241131	LOC102241131	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241139	LOC102241139	0	0	0.342777	0	0	0	0	0	0.279552	0	0	0
gene-LOC102241151	LOC102241151	1.041969	1.033381	3.414252	0.293227	4.144724	0.494114	2.617559	2.010282	0.215806	0	2.100754	1.868166
gene-LOC102241155	LOC102241155	0.381356	0.236936	0	0.150918	1.939904	0	0	0.088977	0.144897	0	0.932286	0.347974
gene-LOC102241156	LOC102241156	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241159	LOC102241159	0	0.209903	0	0	0	0.330984	0.303759	0	0.125891	0	0	0.41181
gene-LOC102241162	LOC102241162	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241163	LOC102241163	0.976051	0.19705	3.119404	1.002145	0.601849	0.588861	4.099512	1.467218	1.329907	0	1.226696	1.437198
gene-LOC102241166	LOC102241166	0	0.084698	0.412806	1.388934	0.038862	0.051436	0.046546	0	0	0	0	0.170715
gene-LOC102241167	LOC102241167	0	0.087896	0.55338	0.147152	0.704788	0.084914	1.236723	0.381245	0.066826	0	0.614796	0.772324
gene-LOC102241169	LOC102241169	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241171	LOC102241171	0	0	0.056356	0	0	0	0	0	0	0	0	0.031048
gene-LOC102241175	LOC102241175	0	0.249924	1.258882	0.35909	0.099095	0.308326	0.019534	0	0	0	0.062454	0.023178
gene-LOC102241176	LOC102241176	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241179	LOC102241179	127.247414	86.427589	224.838546	166.403077	61.027645	94.639056	201.320065	167.001395	143.985328	0	179.685585	177.110681
gene-LOC102241182	LOC102241182	0	0	3.481221	0.009299	0.599859	0	4.722826	0.123362	0	0	0.121833	0.097749
gene-LOC102241187	LOC102241187	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241190	LOC102241190	0	0.082555	0.603579	0.044448	0.199652	0.051528	0.270368	0.029358	0.124753	0	0.128994	0.155338
gene-LOC102241193	LOC102241193	0.264938	4.238436	12.720662	1.192766	0.706189	2.498656	9.896163	4.190062	1.406819	0	4.235439	4.196966
gene-LOC102241203	LOC102241203	0	0.023888	0.016431	0.082244	0.317674	0	0.01247	0.00983	0	0	0.065437	0.05163
gene-LOC102241209	LOC102241209	154.58583	11.481567	14.892295	32.173912	152.014485	5.826356	10.38098	97.808109	32.423455	0	119.382482	119.116554
gene-LOC102241211	LOC102241211	0	0.057639	0	0	0.152339	0	0	0	0	0	0	0
gene-LOC102241214	LOC102241214	132.201818	0	0	0	40.676727	0	0.046799	0	0	0	0	0
gene-LOC102241216	LOC102241216	1.478123	0	0	0	0	0	0.679738	0.892109	0	0	0.797741	0.992273
gene-LOC102241219	LOC102241219	9.868145	16.328497	65.992632	7.09971	10.1797	6.807141	22.331845	18.189759	2.172253	0	68.896123	63.978295
gene-LOC102241222	LOC102241222	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241224	LOC102241224	0	0	0.042668	0	0	0	0	0	0	0	0	0
gene-LOC102241228	LOC102241228	1.077476	6.116567	12.413147	4.027389	4.290476	3.162277	4.046796	3.933989	0.578373	0	19.605301	18.267221
gene-LOC102241229	LOC102241229	32.032319	8.304165	25.411114	4.536792	21.036229	10.194459	33.41069	35.836377	4.377437	0	22.736763	23.23437
gene-LOC102241230	LOC102241230	0	4.087399	5.148057	12.720682	0.858423	0.945555	1.537913	0.07615	3.798486	0	0.668885	0.540686
gene-LOC102241231	LOC102241231	0	0.1218	1.261385	0	0.603808	0	0.483906	0.080748	0	0	0.438159	0.529688
gene-LOC102241236	LOC102241236	0	0.044934	1.478032	0.056909	4.347635	0	0.193422	0	0.096238	0	1.451905	1.035594
gene-LOC102241237	LOC102241237	0	0.442431	18.95285	3.082368	2.285642	0.396418	9.265787	0.508437	0.26534	0	2.921283	2.280956
gene-LOC102241239	LOC102241239	0	0.251216	1.499913	0.084285	0.281399	0.014815	0.281486	0.010533	0.016661	0	1.142237	0.965612
gene-LOC102241242	LOC102241242	0	0.106229	0.343536	0	0.115909	0.04954	0.108832	0.100925	0.007956	0	0.179059	0.19065
gene-LOC102241243	LOC102241243	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241247	LOC102241247	25.228883	16.351784	17.080985	23.899826	45.625089	38.455511	32.204002	48.459326	61.532166	0	23.845283	24.751757
gene-LOC102241251	LOC102241251	0	0	0	0	0.027333	0	0	0.025229	0	0	0.047932	0.088873
gene-LOC102241257	LOC102241257	0.005261	0.023262	79.032597	0	0.081866	0.040381	97.092548	0.01439	0.045443	0	0.222863	0.295014
gene-LOC102241258	LOC102241258	0	4.909632	4.127201	4.79081	5.584685	0.473871	0.725326	0.546112	1.057423	0	11.646125	11.599612
gene-LOC102241261	LOC102241261	1.844032	0.411756	3.885489	0	150.908617	2.961287	12.271601	77.424063	0.543673	0	35.2885	34.97241
gene-LOC102241264	LOC102241264	0	0	0	0	0	0	0.023395	0	0	0	0	0
gene-LOC102241267	LOC102241267	0	0	0	0	0	0	0	0	0	0	0.026875	0.079642
gene-LOC102241268	LOC102241268	1.98499	1.444676	4.090868	0.394152	2.150202	3.419481	17.794543	5.148542	1.721682	0	3.431351	3.819992
gene-LOC102241272	LOC102241272	0	0.278656	0.508904	0.531674	0.09078	0	0	0	0	0	0	0.207525
gene-LOC102241274	LOC102241274	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241280	LOC102241280	7.851347	21.892227	25.528668	12.72039	12.363966	17.663857	23.478305	21.123565	7.865821	0	27.382745	27.404567
gene-LOC102241281	LOC102241281	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241285	LOC102241285	0.104804	5.181746	8.523111	0.3334	0.467965	5.619743	8.885391	3.274527	0.497617	0	2.266293	2.16838
gene-LOC102241286	LOC102241286	1.498818	0.062552	0.457037	0.158992	1.43937	0.503418	2.223678	4.188802	0.069888	0	1.185047	1.383686
gene-LOC102241296	LOC102241296	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241298	LOC102241298	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241299	LOC102241299	0.060719	0.297224	1.16418	0.440655	1.351292	0.160237	0.253913	0.028233	0	0	1.48993	1.237907
gene-LOC102241306	LOC102241306	0	0.039932	0.109475	0.70376	0.306031	0	0.09667	0	0.200298	0	0.217545	0.060525
gene-LOC102241308	LOC102241308	0.058853	0.143172	1.148511	0.107985	0.261559	0.163662	0.956269	0.143333	0.079178	0	0.093575	0.187299
gene-LOC102241318	LOC102241318	0.632235	0.781746	3.714695	0.82758	2.452087	0.740666	1.764518	3.69966	0.46199	0	6.888877	7.359899
gene-LOC102241321	LOC102241321	0.487429	0	0.201762	0	0.450217	0	0.465309	0.096769	0	0	0	0
gene-LOC102241322	LOC102241322	12.555031	8.62803	8.963166	5.621043	12.128829	6.155351	9.634613	5.843736	3.4543	0	8.690043	7.907418
gene-LOC102241324	LOC102241324	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241326	LOC102241326	0	0	0	0	0	0	0	0	0	0	0.027933	0.020695
gene-LOC102241330	LOC102241330	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241331	LOC102241331	12.956506	0.566431	30.464797	0.712854	57.347479	0.167933	2.378192	5.468686	0.018888	0	137.97276	127.984972
gene-LOC102241333	LOC102241333	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241335	LOC102241335	3.645268	7.65965	17.961241	7.168594	10.820233	4.313348	11.743448	7.425584	5.183181	0	18.374032	17.632126
gene-LOC102241336	LOC102241336	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241337	LOC102241337	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241339	LOC102241339	0.44845	0.032238	1.087359	0.319657	0.3347	0.173072	1.449707	0.123112	0.417427	0	0.229264	0.180116
gene-LOC102241343	LOC102241343	0	0.567261	0.63793	0.386733	0	0.578856	0.336963	0.17473	0.093139	0	0.940517	0.743652
gene-LOC102241346	LOC102241346	0	0	0	0	0	0	0.012419	0	0	0	0	0
gene-LOC102241347	LOC102241347	0.148793	0.049691	0.363304	0.112312	0.028118	0.043223	0.516124	0	0	0	0	0
gene-LOC102241348	LOC102241348	0.641245	0.052988	0.729481	0.233846	1.498503	0.292796	1.818643	1.043455	0.513637	0	0.872192	0.624645
gene-LOC102241360	LOC102241360	6.135812	36.380125	62.427071	31.053873	9.995061	23.252881	47.186286	7.54498	23.901161	0	12.009689	11.67049
gene-LOC102241367	LOC102241367	0	0	0	0.168238	0	0	0.119802	0	0	0	0	0
gene-LOC102241368	LOC102241368	0	0.043074	0.51632	0.063525	0.472877	0	0.261433	0.023724	0	0	0.117245	0.108755
gene-LOC102241370	LOC102241370	0	5.789416	2.060518	14.73471	2.85533	2.791065	3.134525	2.819015	16.598106	0	2.649424	3.327763
gene-LOC102241371	LOC102241371	0	1.660146	7.019807	4.797978	1.467705	0	0	0	0	0	0	0
gene-LOC102241374	LOC102241374	0	0	0.245407	0	0	0	0	0	0	0	0	0
gene-LOC102241375	LOC102241375	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241383	LOC102241383	63.282654	41.448986	88.664544	36.578898	45.020903	55.973135	102.058833	60.519276	41.56325	0	53.950062	53.542934
gene-LOC102241384	LOC102241384	0	0.696458	1.197931	0.259189	0.608961	0	0	0	0	0	1.768199	2.178787
gene-LOC102241386	LOC102241386	0	0.368713	0.299483	0.103675	0.44288	0.231348	0	0	0	0	0	0.123328
gene-LOC102241387	LOC102241387	845.973973	677.833473	345.527044	1059.318399	205.768547	1353.711427	592.31995	483.197292	1394.038789	7670.498583	313.560039	329.21605
gene-LOC102241389	LOC102241389	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241390	LOC102241390	0.04419	0.364027	1.04241	0.213431	0.667236	0.148571	0.393619	0.385404	0.20285	0	0.796192	0.553178
gene-LOC102241391	LOC102241391	0	0.031424	0.660493	0.039515	0	0.041592	0.363744	0	0	0	0.042883	0.031797
gene-LOC102241404	LOC102241404	0	1.086222	3.964455	8.071602	0.115798	0.093821	0.514473	0.197334	0	0	0.47846	1.071174
gene-LOC102241405	LOC102241405	0	0	0	0	0	0.041127	0	0	0	0	0	0
gene-LOC102241409	LOC102241409	0	0	0	0	0	0	0	0	0	0	0	0.016319
gene-LOC102241411	LOC102241411	0.192403	0.828777	10.104523	2.085684	6.409668	0.287399	2.956029	1.322299	0.770489	0	7.844893	7.077342
gene-LOC102241417	LOC102241417	55.560304	0	31.642902	0	37.998603	0	17.752151	20.462337	0	0	21.482203	21.734782
gene-LOC102241423	LOC102241423	10.902924	0	0.137717	0	8.65167	0	0.012011	11.321507	0	0	14.441174	14.077369
gene-LOC102241426	LOC102241426	0	0	0	0	0	0.1145	0.155775	0	0	0	0.156204	0.232781
gene-LOC102241427	LOC102241427	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241428	LOC102241428	0	0.179672	1.750565	0	0.394635	0.058949	0	0	0	0	0.160192	0.119378
gene-LOC102241429	LOC102241429	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241430	LOC102241430	0.165321	0.851276	0.465541	0.864953	0.657576	0.447769	1.080777	0.104741	0.689341	0	0	0
gene-LOC102241432	LOC102241432	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241433	LOC102241433	0.272427	11.629625	11.976615	4.422198	3.882652	3.323991	4.341941	3.152615	1.890916	0	11.805977	11.284698
gene-LOC102241434	LOC102241434	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241439	LOC102241439	0	0.697443	0.592902	0.020399	0	0.01433	0.103719	0	0	0	0.486847	0.361008
gene-LOC102241441	LOC102241441	0	0.092662	1.072588	0.077974	0.465856	0	0.615299	0	0	0	0.083712	0.093301
gene-LOC102241442	LOC102241442	5.638015	0.684796	2.094119	6.520556	2.502728	1.177786	2.235494	1.389125	5.15462	0	1.151569	1.280325
gene-LOC102241444	LOC102241444	0.02008	0	0.01162	0	0.072338	0	0.004958	0.05475	0.006161	0	0	0.006452
gene-LOC102241445	LOC102241445	0.104781	0.035119	0.19419	0	0	0	0.19717	0.099578	0	0	0.095771	0.107204
gene-LOC102241448	LOC102241448	245.241166	95.823343	150.561832	25.917146	79.091346	147.591293	159.933242	293.475096	23.689325	0	224.970607	224.566729
gene-LOC102241458	LOC102241458	0	1.296311	4.835225	1.601149	3.286215	0.023989	0.021708	0.101984	0	0	5.3886	5.255284
gene-LOC102241460	LOC102241460	0.31209	0.464056	1.800991	1.178513	0.919198	0.227364	0.25776	0.398886	0.064122	0	2.484997	1.388493
gene-LOC102241461	LOC102241461	3.283444	1.04152	7.181884	1.805468	13.303607	0.224334	4.473815	14.172198	0.412961	0	30.200218	31.920816
gene-LOC102241468	LOC102241468	0	7.035043	10.856382	0	1.569008	0.151482	3.864578	3.629536	0	0	6.255512	11.328783
gene-LOC102241477	LOC102241477	0	4.753586	1.887257	0.885507	0.341587	0.958192	0.663654	0.292095	0.456147	0	1.283627	1.3965
gene-LOC102241483	LOC102241483	22.332122	92.136324	72.984543	52.400275	73.279223	44.206918	36.477092	46.336377	28.591193	0	88.225437	89.704408
gene-LOC102241484	LOC102241484	0	0.015613	0.38401	0.168758	0.076579	0.074539	0.489366	0.052548	0.166064	0	0.038259	0.042542
gene-LOC102241494	LOC102241494	0	0.020628	0.12659	0.005539	0.766505	0.001255	1.03338	0.013457	0	0	0.129558	0.151296
gene-LOC102241495	LOC102241495	0	0.441065	0.027798	0.439831	0.205969	0.080421	0.077276	0	0.194597	0	0	0
gene-LOC102241496	LOC102241496	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241498	LOC102241498	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241501	LOC102241501	0.389449	1.171284	5.146341	1.011859	0.428802	0.145806	2.12243	0.555212	0.435755	0	1.880642	1.509442
gene-LOC102241504	LOC102241504	0	0	0	0	0	0	0.022409	0	0	0	0	0
gene-LOC102241505	LOC102241505	57.192234	4.632158	22.98424	14.005301	61.302179	6.104731	35.356983	47.218709	21.626731	0	32.228169	28.822739
gene-LOC102241507	LOC102241507	0.057461	0.008462	43.310484	0	0.083988	0	100.043165	0	0.008245	0	0.023176	0.034334
gene-LOC102241508	LOC102241508	4.857148	5.275762	0.555793	7.79392	2.06905	5.782794	0.887869	0.682474	6.006167	0	0.611401	0.923288
gene-LOC102241510	LOC102241510	0	0.029	0.053008	0.018583	0.024524	0	0.011334	0	0	0	0.019867	0.04414
gene-LOC102241512	LOC102241512	292.77006	98.089147	982.605379	77.640663	229.834524	105.764763	728.438327	386.921223	53.068933	0	407.888264	410.837591
gene-LOC102241513	LOC102241513	0.035039	0	0.069599	0.191705	2.125416	0	0.137956	4.74898	0	0	5.703859	6.435011
gene-LOC102241516	LOC102241516	0.101977	1.767397	4.220473	0.992827	2.464684	0.625364	1.149903	0.358451	0.074905	0	3.083895	3.020481
gene-LOC102241517	LOC102241517	3.485588	1.822428	9.537283	0.430904	2.709131	2.651754	14.817546	14.385598	0.849824	0	10.416492	10.308343
gene-LOC102241520	LOC102241520	0.213886	0.528867	1.53042	0	0.336717	0.375375	0.697176	0.014021	0.066674	0	0.119933	0.111257
gene-LOC102241521	LOC102241521	0	0.491789	1.167519	0.14749	0.155327	0.220263	0.663264	0.26938	0.206651	0	0.615852	0.333714
gene-LOC102241523	LOC102241523	0	0	0.149217	0	0	0	0.068985	0	0	0	0	0.076989
gene-LOC102241525	LOC102241525	0.031864	0.407525	3.225742	0.470381	0.64992	0.156513	0.283227	0	0	0	0.643029	0.444235
gene-LOC102241527	LOC102241527	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241528	LOC102241528	0	0.02406	0.043983	0	0.100203	0	0.019593	0	0	0	0	0
gene-LOC102241531	LOC102241531	0.036882	0.232809	0.375757	0.099521	1.564329	0.286426	0.815549	1.90758	0.140264	0	1.20194	1.160396
gene-LOC102241533	LOC102241533	0.932648	0	1.479213	0	2.352232	0.954927	4.866551	40.541591	0.679646	0	15.63157	16.156978
gene-LOC102241534	LOC102241534	0	0	1.833693	0	0	0	0.290599	0	0	0	0	0
gene-LOC102241535	LOC102241535	2.019033	0.581789	2.217848	1.777159	2.128228	0.764449	1.51282	2.090511	1.58719	0	1.90469	2.253194
gene-LOC102241539	LOC102241539	0.00282	0	0.034281	0	0.186764	0	0.014624	0.099967	0	0	0.051417	0.044419
gene-LOC102241540	LOC102241540	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241543	LOC102241543	1.723762	32.105483	28.853999	10.09094	32.454716	6.506116	18.156987	15.142337	6.292184	0	26.12794	23.970505
gene-LOC102241546	LOC102241546	0	0.080148	0.481344	0.043148	0.371688	0.019993	0.298435	0.078323	0.078679	0	0.250508	0.545297
gene-LOC102241552	LOC102241552	0.01222	0.29932	2.105429	0.195789	0	0.491012	1.79879	0.180926	0.073588	0	1.348849	1.084479
gene-LOC102241558	LOC102241558	9.074843	7.987641	8.621026	3.321877	5.144502	7.859528	8.182695	6.65862	3.26031	0	7.666497	7.16147
gene-LOC102241560	LOC102241560	0	0	0.050419	0	0	0	0	0	0	0	0	0
gene-LOC102241572	LOC102241572	0	0.088121	0.160515	0.107281	0	0.664251	0.391617	0.252186	0.175001	0	0.334353	0.544948
gene-LOC102241574	LOC102241574	0.376186	0.262566	3.620952	0.090233	0.231476	0.193505	3.638164	0.304976	0.169323	0	0	0
gene-LOC102241577	LOC102241577	0	0.123836	7.0704	0.157365	0	0.061204	1.4997	0.171662	0	0	0.330913	0.123332
gene-LOC102241581	LOC102241581	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241584	LOC102241584	0	0	0.080843	0	0.376871	0.019115	0.023054	0.040899	0	0	0.282774	0.359011
gene-LOC102241585	LOC102241585	137.260174	204.916011	245.056742	173.919333	176.652001	168.851661	221.06173	194.405773	184.7562	0	195.887998	195.397183
gene-LOC102241587	LOC102241587	0	0	0	0	0.232181	0	0.038976	0	0	0	0.130925	0.145754
gene-LOC102241591	LOC102241591	0.073097	2.147334	5.647711	1.551897	4.024632	0.118645	0.107363	0.01683	0	0	4.196544	4.410171
gene-LOC102241592	LOC102241592	1.860313	0.204824	5.375528	0.460643	3.332567	0.127805	2.439213	7.928873	0.343541	0	9.718171	9.144128
gene-LOC102241593	LOC102241593	0	1.360034	6.155009	0.572429	0.531631	0	0.08095	0	0	0	0.789307	0.358474
gene-LOC102241598	LOC102241598	2.615862	0.074661	0.545804	0	3.042499	0.17406	2.117889	7.027396	0.823006	0	0.706111	1.162705
gene-LOC102241600	LOC102241600	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241601	LOC102241601	0.022942	0.090995	0.073921	0	0.028598	0.061588	0.135305	0.012539	0.039567	0	0	0
gene-LOC102241608	LOC102241608	0	0	0	0.075158	0	0	0	0	0	0	0	0
gene-LOC102241609	LOC102241609	0	0	0.573246	0	0	0.186464	0	0.130727	0	0	0.670642	0.687408
gene-LOC102241610	LOC102241610	0	0	0	0.142008	0	0	0	0	0	0	0.152754	0.198553
gene-LOC102241612	LOC102241612	0.045325	2.125872	2.294517	2.599663	1.148173	0.444018	0.160675	0.167406	0.199848	0	1.311859	1.915846
gene-LOC102241617	LOC102241617	0	0.08151	0.54627	0.239038	0.095561	0.023848	0.409901	0.025461	0.067041	0	0.133874	0.056089
gene-LOC102241628	LOC102241628	1.866923	0.086458	9.520347	0.136103	4.656763	0.212934	11.577583	8.463648	0.15243	0	5.706569	5.369817
gene-LOC102241631	LOC102241631	10.624069	26.184068	27.788315	30.759102	9.079274	13.85447	26.89839	16.101383	23.976225	0	17.481302	17.407695
gene-LOC102241635	LOC102241635	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241637	LOC102241637	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241638	LOC102241638	4.737486	0	0	0.576161	1.335319	0.156139	0.094198	0.497467	0.673506	0	0.774486	0.575284
gene-LOC102241641	LOC102241641	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241644	LOC102241644	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241645	LOC102241645	111.221667	4.058742	9.690413	33.330396	60.653777	7.953833	21.035857	32.692897	45.827116	0	15.579049	16.258956
gene-LOC102241656	LOC102241656	0.220094	0.169122	0.308985	0.214705	0.746182	0	0.199696	29.790498	0	0	25.220655	26.890929
gene-LOC102241657	LOC102241657	0	0	0	0.012761	0	0	0	0	0.009943	0	0	0
gene-LOC102241658	LOC102241658	0	0.057293	0	0.145647	0	0	0	0	0.063207	0	0	0.114245
gene-LOC102241664	LOC102241664	0.205214	1.125119	0.89517	3.493308	0.558957	2.402875	1.543733	0.239628	4.216199	0	0.14468	0.160858
gene-LOC102241666	LOC102241666	0	0.037254	0	0	0.359298	0	0.062883	0	0	0	0	0
gene-LOC102241668	LOC102241668	3.118129	0.103045	0.596446	1.056338	13.876932	0.201005	0.760988	12.891376	1.824508	0	9.406442	9.859192
gene-LOC102241673	LOC102241673	0.007944	0.250395	1.110567	0.059294	0.325908	0.228995	1.076004	0.084216	0.110188	0	0.796095	0.57077
gene-LOC102241674	LOC102241674	0.071764	0.12146	0.330813	0.090624	0.127918	0.010456	0.030245	0.067286	0	0	0.118466	0.078504
gene-LOC102241677	LOC102241677	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241678	LOC102241678	0	1.378297	3.575476	0	0	0.055261	0.052257	0	0	0	3.526789	2.816549
gene-LOC102241679	LOC102241679	0	0.176889	0.369504	0.571542	0.249215	0.088511	0.160146	0.055141	0.136845	0	0.207213	0.294353
gene-LOC102241680	LOC102241680	0.089042	0	0	28.435213	20.693734	0	0	0	13.895962	0	0	0
gene-LOC102241681	LOC102241681	0.256567	0	0.220893	0.359131	0.301852	0	0.026505	0	0.125607	0	0.156763	0.261233
gene-LOC102241683	LOC102241683	0	0	0	0	0.083109	0	0.011765	0	0	0	0	0
gene-LOC102241684	LOC102241684	0	0	0.068085	0	0	0.277867	0.062883	0.049032	0	0	0.100669	0.112291
gene-LOC102241690	LOC102241690	0.10772	0.649607	1.909099	0.250043	0.937002	0.096045	1.122051	0.546006	0.082897	0	0.842253	1.144937
gene-LOC102241693	LOC102241693	0	0	10.499654	0	1.982742	0	25.515885	0	0	0	0	0
gene-LOC102241696	LOC102241696	0.23345	0.440673	4.334206	0.86966	1.379222	0.27417	3.563265	0.885557	0.544577	0	1.952115	2.063213
gene-LOC102241701	LOC102241701	0	0	0.519352	0	0.070214	0.029572	0.227416	0	0.033258	0	0.0456	0.033815
gene-LOC102241704	LOC102241704	0.05816	2.271071	3.172302	0.859096	0.78057	1.398485	0.815372	0.196187	0.203906	0	0.891903	0.983855
gene-LOC102241708	LOC102241708	0.121445	0.645902	0.877833	0	0.347931	0.131803	0.251744	0.520693	0	0	1.581467	2.110948
gene-LOC102241710	LOC102241710	0	1.64266	8.077502	11.175118	1.226952	0	0.394097	0.012375	0.156777	0	2.024563	1.600771
gene-LOC102241712	LOC102241712	0.129125	0.070266	4.138487	0.341367	1.433163	0.029045	1.671555	0.405723	0.090667	0	1.748468	1.616434
gene-LOC102241714	LOC102241714	1.725252	2.012847	4.638975	1.735088	2.371977	3.528653	6.513965	5.221282	2.141541	0	6.287341	6.72852
gene-LOC102241715	LOC102241715	0.728626	38.024654	18.388244	12.652668	55.230268	12.768711	15.797423	45.245512	16.495814	0	62.517128	62.996475
gene-LOC102241717	LOC102241717	0	0.225964	1.001373	0.313819	1.14091	0	1.027326	0.392214	0.381867	0	0.939758	2.205029
gene-LOC102241718	LOC102241718	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241721	LOC102241721	1.09176	8.731758	13.337339	8.91555	3.694431	4.522821	5.819627	5.939274	7.825688	0	7.172563	7.599477
gene-LOC102241722	LOC102241722	0	0.114731	0	0	0	0	0	0.050388	0.040196	0	0.206757	0.076896
gene-LOC102241726	LOC102241726	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241733	LOC102241733	0.214979	0.810409	1.708079	0.396116	1.146779	0.555083	2.854685	1.556742	0.905033	0	1.665519	1.924354
gene-LOC102241737	LOC102241737	0	0.047467	0.090114	0.062193	0	0	0	0	0.046751	0	0.06252	0.04831
gene-LOC102241738	LOC102241738	378.972936	9.979851	14.771483	45.714635	186.060328	11.818171	13.117209	119.01205	54.03938	0	101.264589	101.894498
gene-LOC102241740	LOC102241740	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241741	LOC102241741	0.153297	0	0	0.624993	0	0	0.012148	0	0.286889	0	0	0
gene-LOC102241742	LOC102241742	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102241748	LOC102241748	6.436732	0.267862	42.183219	0.05948	2.851988	0.222425	28.03007	4.597508	0	0	7.309231	7.874546
gene-LOC102241751	LOC102241751	0	0	0	0	0	0	0	0	0.047157	0	0	0
gene-LOC102241762	LOC102241762	0	0.114353	0.101312	0.429758	0	0.053431	0.048337	0	0.406254	0	0	0
gene-LOC102241763	LOC102241763	0	0	0	0	0	0	0	0	0	0	0	0.06842
